排名,名字,评分,导演,类型,国家,年份,评价
54,饮食男女,9.1,李安,剧情 家庭,台湾 美国,1994,人生不能像做菜，把所有的料都准备好了才下锅。
55,美国往事,9.1,赛尔乔·莱翁内,犯罪 剧情,意大利 美国,1984,往事如烟，无处祭奠。
56,天使爱美丽,8.7,让-皮埃尔·热内,喜剧 爱情,法国 德国,2001,法式小清新。 
57,钢琴家,9,罗曼·波兰斯基,剧情 传记 历史 战争,法国 德国 英国 波兰,2002,音乐能化解仇恨。
58,狮子王,8.9,Roger,剧情 动画 冒险 歌舞 家庭,美国,1994,动物版《哈姆雷特》。
59,七宗罪,8.7,大卫·芬奇,剧情 犯罪 悬疑 惊悚,美国,1995,警察抓小偷，老鼠玩死猫。
60,被嫌弃的松子的一生,8.9,中岛哲也,剧情 歌舞,日本,2006,以戏谑来戏谑戏谑。
61,致命魔术,8.8,克里斯托弗·诺兰,剧情 悬疑 惊悚,美国 英国,2006,孪生蝙蝠侠大战克隆金刚狼。
62,小鞋子,9.2,马基德·马基迪,剧情 家庭 儿童,伊朗,1997,奔跑的孩子是天使。
63,勇敢的心,8.8,梅尔·吉布森,动作 传记 剧情 历史 战争,美国,1995,史诗大片的典范。
64,素媛,9.1,李濬益,剧情,韩国,2013,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
65,剪刀手爱德华,8.7,Tim,剧情 奇幻 爱情,美国,1990,浪漫忧郁的成人童话。
66,音乐之声,8.9,Robert,剧情 爱情 歌舞 家庭 传记,美国,1965,用音乐化解仇恨，让歌声串起美好。
67,低俗小说,8.8,昆汀·塔伦蒂诺,剧情 喜剧 犯罪,美国,1994,故事的高级讲法。
68,本杰明·巴顿奇事,8.7,大卫·芬奇,剧情 爱情 奇幻,美国,2008,在时间之河里感受溺水之苦。
69,黑客帝国,8.8,安迪·沃卓斯基,动作 科幻,美国 澳大利亚,1999,视觉革命。
70,沉默的羔羊,8.7,乔纳森·戴米,剧情 犯罪 惊悚,美国,1991,安东尼·霍普金斯的顶级表演。
71,入殓师,8.8,泷田洋二郎,剧情,日本,2008,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
72,拯救大兵瑞恩,8.9,史蒂文·斯皮尔伯格,剧情 历史 战争,美国,1998,美利坚精神输出大片No1.
73,西西里的美丽传说,8.7,朱塞佩·托纳多雷,剧情 战争 情色,意大利 美国,2000,美丽无罪。
74,蝴蝶效应,8.7,埃里克·布雷斯,剧情 悬疑 科幻 惊悚,美国 加拿大,2004,人的命运被自己瞬间的抉择改变。
