排名,名字,评分,导演,类型,国家,年份,评价
231,疯狂的石头,8.2,宁浩,喜剧 犯罪,中国大陆 香港,2006,中国版《两杆大烟枪》。
232,大卫·戈尔的一生,8.6,Alan,剧情 犯罪 悬疑,美国 德国 英国,2003,捍卫人权只是信仰，一点不妨碍其行为的残忍。
233,枪火,8.6,杜琪峰,剧情 动作 犯罪,香港,1999,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
234,千钧一发,8.7,安德鲁·尼科尔,剧情 科幻,美国,1997,一部能引人思考的科幻励志片。
235,麦兜故事,8.5,袁建滔,剧情 喜剧 动画,香港,2001,麦兜是一只很哲学的猪。 
236,一个叫欧维的男人决定去死,8.7,汉内斯·赫尔姆,剧情,瑞典,2015,惠及一生的美丽。
237,暖暖内含光,8.4,米歇尔·冈瑞,剧情 爱情 奇幻,美国,2004,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
238,遗愿清单,8.5,罗伯·莱纳,冒险 喜剧 剧情,美国,2007,用剩余不多的时间，去燃烧整个生命。
239,曾经,8.3,约翰·卡尼,剧情 音乐 爱情,爱尔兰,2007,有些幸福无关爱情。
240,步履不停,8.8,是枝裕和,剧情 家庭,日本,2008,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
241,荒岛余生,8.5,罗伯特·泽米吉斯,冒险 剧情,美国,2000,一个人的独角戏。
242,彗星来的那一夜,8.4,詹姆斯·沃德·布柯特,科幻 悬疑 惊悚,美国 英国,2013,小成本大魅力。
243,我爱你,9,秋昌民,剧情 爱情,韩国,2011,你要相信，这世上真的有爱存在，不管在什么年纪 
244,蝴蝶,8.6,菲利普·穆伊尔,剧情 儿童 喜剧,法国,2002,我们长途跋涉寻找的东西，有可能一直就在身边。 
245,月球,8.5,邓肯·琼斯,剧情 科幻 悬疑,英国,2009,2009媲美《第九区》的又一部科幻神作。
246,巴黎淘气帮,8.6,Laurent,儿童 喜剧 家庭,法国 比利时,2009,四百击的反面。
247,无人知晓,9,是枝裕和,剧情,日本,2004,我的平常生活就是他人的幸福。
248,与狼共舞,8.9,Kevin,冒险 剧情 西部,美国,1990,充满诗意与情怀的史诗作品。 
249,偷拐抢骗,8.5,盖·里奇,喜剧 犯罪,英国 美国,2000,典型盖·里奇式的英国黑色幽默黑帮片。
250,寿司之神,8.8,大卫·贾柏,纪录片,美国,2011,仪式主义的狂欢，偏执狂的完胜。
